ID,Discipline,Abstract
71,IT,"In the present era of smart cities and homes, the private information of the patients such as their names, address, and disease is being breached on a regular basis, which indirectly related to the security of electronic health records (EHRs). The existing state-of-the-art schemes handling the security of EHRs have resulted in data being generally inaccessible to patients. These schemes struggle in providing the efficient balance between the data privacy, need for patients, and providers to regularly interact with data. Blockchain technology resolves the aforementioned issues because it shares the data in a decentralized and transactional fashion. This can be leveraged in the healthcare sector to maintain the balance between privacy and accessibility of EHRs. In this paper, we propose a Blockchain-based framework for efficient storage and maintenance of EHRs. This further provides the secure and efficient access to medical data by patients, providers, and third parties, while preserving the patient private information. The goals of this paper are to analyze how our proposed framework fulfills the needs of patients, providers, and third parties, and to understand how the framework maintains the privacy and security concerns in the healthcare 4.0."
72,IT,"The increasing development of urban centers brings serious challenges for traffic management. In this paper, we introduce a smart visual sensor, developed for a pilot project taking place in the Australian city of Liverpool (NSW). The project’s aim was to design and evaluate an edge-computing device using computer vision and deep neural networks to track in real-time multi-modal transportation while ensuring citizens’ privacy. The performance of the sensor was evaluated on a town center dataset. We also introduce the interoperable Agnosticity framework designed to collect, store and access data from multiple sensors, with results from two real-world experiments."
73,IT,"Microservice architectures provide small services that may be deployed and scaled independently of each other, and may employ different middleware stacks for their implementation. Microservice architectures intend to overcome the shortcomings of monolithic architectures where all of the application's logic and data are managed in one deployable unit. We present how the properties of microservice architectures facilitate scalability, agility and reliability at otto.de, which is one of the biggest European e-commerce platforms. In particular, we discuss vertical decomposition into self contained systems and appropriate granularity of microservices as well as coupling, integration, scalability and monitoring of microservices at otto.de. While increasing agility to more than 500 live deployments per week, high reliability is achieved by means of automated quality assurance with continuous integration and deployment."
74,IT,"While the IoT deployments multiply in a wide variety of verticals, the most IoT devices lack a built-in secure firmware update mechanism. Without such a mechanism, however, critical security vulnerabilities cannot be fixed, and the IoT devices can become a permanent liability, as demonstrated by recent large-scale attacks. In this paper, we survey open standards and open source libraries that provide useful building blocks for secure firmware updates for the constrained IoT devices–by which we mean lowpower, microcontroller-based devices such as networked sensors/actuators with a small amount of memory, among other constraints. We design and implement a prototype that leverages these building blocks and assess the security properties of this prototype. We present experimental results including first experiments with SUIT, a new IETF standard for secure IoT firmware updates. We evaluate the performance of our implementation on a variety of commercial off-the-shelf constrained IoT devices. We conclude that it is possible to create a secure, standards-compliant firmware update solution that uses the state-of-the-art security for the IoT devices with less than 32 kB of RAM and 128 kB of flash memory."
75,IT,"Improvements in data storage and processing technologies have led many managers to change how they make decisions, relying less on intuition and more on data. This trend is especially notable for the manufacturing industry where Big Data applications, i.e. data analytics, are mentioned as an important enabler of value creation with the event of the fourth industrial revolution. Designing and building the entire data value chain that enables Big Data applications in manufacturing requires new knowledge about digital technologies combined with already established knowledge about the specific manufacturing processes. This paper focuses on the convergence of these different knowledge spaces applied to a specific case of implementing a Big Data application for predictive maintenance. Every step of building the data value chain from data acquisition to system feedback is presented and discussed in terms of the major challenges that were observed during the project. Results show that, just as the literature suggests, the knowledge gaps between different domains is a key component to manage for succeeding when building Big Data applications in the context of future manufacturing and maintenance."
76,CS,"In this paper we explore private computation built on vector addition and its applications in privacy-preserving data mining. Vector addition is a surprisingly general tool for implementing many algorithms prevalent in distributed data mining. Examples include linear algorithms like voting and summation, as well as non-linear algorithms such as SVD, PCA, k-means, ID3, machine learning algorithms based on Expectation Maximization (EM), etc., and all algorithms in the statistical query model [27]. The non-linear algorithms aggregate data only in certain steps, such as conjugate gradient, which are linear in the data. We introduce a new and highly efficient VSS (Verifiable Secret-Sharing) protocol in a special but widely-applicable model that allows secret-shared arithmetic operations in such aggregation steps to be done over small fields (e.g. 32 or 64 bits). There are two major advantages: (1) in this framework private arithmetic operations have the same cost as normal arithmetic and (2) the scheme admits extremely efficient zero-knowledge (ZK) protocols for verifying properties of user data. As a concrete example, we present a very efficient zero-knowledge method based on random projection for verification that uses a linear number of inexpensive small field operations, and only a logarithmic number of large-field (1024 bits or more) cryptographic operations. Our implementation shows that the approach can achieve orders of magnitude reduction in running time over standard techniques (from hours to seconds) for large scale problems. The ZK tools provide efficient mechanisms for dealing with actively cheating users, a realistic threat in distributed data mining which has been lacking practical solutions."
77,CS,"In the last decade, machine-learning-based compilation has moved from an obscure research niche to a mainstream activity. In this paper, we describe the relationship between machine learning and compiler optimization and introduce the main concepts of features, models, training, and deployment. We then provide a comprehensive survey and provide a road map for the wide variety of different research areas. We conclude with a discussion on open issues in the area and potential research directions. This paper provides both an accessible introduction to the fast moving area of machine-learning-based compilation and a detailed bibliography of its main achievements."
78,CS,"Mirroring the success of masked language models, vision-and-language counterparts like ViLBERT, LXMERT and UNITER have achieved state of the art performance on a variety of multimodal discriminative tasks like visual question answering and visual grounding. Recent work has also successfully adapted such models towards the generative task of image captioning. This begs the question: Can these models go the other way and generate images from pieces of text? Our analysis of a popular representative from this model family - LXMERT - finds that it is unable to generate rich and semantically meaningful imagery with its current training setup. We introduce X-LXMERT, an extension to LXMERT with training refinements including: discretizing visual representations, using uniform masking with a large range of masking ratios and aligning the right pre-training datasets to the right objectives which enables it to paint. X-LXMERT's image generation capabilities rival state of the art generative models while its question answering and captioning abilities remains comparable to LXMERT. Finally, we demonstrate the generality of these training refinements by adding image generation capabilities into UNITER to produce X-UNITER."
79,CS,"Causal inference is a critical research topic across many domains, such as statistics, computer science, education, public policy, and economics, for decades. Nowadays, estimating causal effect from observational data has become an appealing research direction owing to the large amount of available data and low budget requirement, compared with randomized controlled trials. Embraced with the rapidly developed machine learning area, various causal effect estimation methods for observational data have sprung up. In this survey, we provide a comprehensive review of causal inference methods under the potential outcome framework, one of the well-known causal inference frameworks. The methods are divided into two categories depending on whether they require all three assumptions of the potential outcome framework or not. For each category, both the traditional statistical methods and the recent machine learning enhanced methods are discussed and compared. The plausible applications of these methods are also presented, including the applications in advertising, recommendation, medicine, and so on. Moreover, the commonly used benchmark datasets as well as the open-source codes are also summarized, which facilitate researchers and practitioners to explore, evaluate and apply the causal inference methods."
80,CS,"User interface testing validates the correctness of an application through visual cues and interactive events emitted in real-world usages. Performing user interface tests is a time-consuming process, and thus, many studies have focused on prioritizing test cases to help maintain the effectiveness of testing while reducing the need for full execution. This paper describes a novel test prioritization method called RLTCP whose goal is to maximize the number of test faults detected while reducing the amount of test. We define a weighted coverage graph to model the underlying association among test cases for the user interface testing. Our method combines Reinforcement Learning (RL) and the coverage graph to prioritize test cases. While RL is found to be suitable for rapidly changing projects with abundant historical data, the coverage graph considers in-depth the event-based aspects of user interface testing and provides a fine-grained level at which the RL system can gain more insights into individual test cases. We experiment and assess the proposed method using nine data sets obtained from two mature web applications, finding that the method outperforms the six, including the state-of-the-art, methods. The use of both reinforcement learning and the underlying structure of user interface tests modeled via the coverage has the potential to improve the performance of test prioritization methods. Our study also shows the benefit of using the coverage graph to gain insights into test cases, their relationship and execution history."
81,IS,"Blockchain-based solutions have the potential to make government operations more efficient and improve the delivery of services in the public and private sectors. Identity verification and authentication technologies, as one of the applications of blockchainbased solutions – and the focus of our own efforts at SecureKey Technologies – have been critical components in service delivery in both sectors due to their power to increase trust between citizens and the services they access. To convert trust into solid value added, identities must be validated through highly-reliable technologies, such as blockchain, that have the capacity to reduce cost and fraud and to simplify the experience for customers while also keeping out the bad actors. With identities migrating to digital platforms, organizations and citizens need to be able to transact with reduced friction even as more counter-bound services move to online delivery. In this article, drawing on our own experiences with an ecosystem approach to digital identity, we describe the potential value of using blockchain technology to address the present and future challenges of identity verification and authentication within a Canadian context."
82,IS,"The objectives of this study are to identify and systematize scholarly articles on the use of information system to support sustainable supply chain management and to suggest future research opportunities. Therefore, a structured literature review was conducted. The most relevant studies identified were classified and categorized into seven dimensions: research context, research focus, research method, sector analyzed, information system (IS) beneficiaries, relationship between IS and green supply chain practices, and performance benefits. The main authors and articles on this particular topic were identified. In addition, it was concluded that IS is an important support tool for sustainable supply chain management practices since it brings benefits to the organization, suppliers, and customers. Furthermore, IS positively influences the operational, financial, and environmental performance of the organization. However, further advances in the literature are still needed. The major contribution of this research is related to the recommendations that provide opportunities for future research."
83,IS,"Remote work is a forced measure introduced by employers in order to prevent a viral infection. For employees, there are pluses in remote work - saving time and money on the road and high labour productivity because nothing distracts. There is a separate issue of information security for the employer when organising such a work regime for their employees. Any use of materials is allowed only with a hyperlink. Nowadays, in the realities of distance work, information security is coming first. Employees send all the information online; they use their data and send confidential information. Protection of personal data becomes a crucial point. The article deals with problems of ensuring information security in the field of remote work. The problems of information security during restrictive actions in connection with the coronavirus pandemic and the transfer of personnel to remote work are discussed. The threat of information leaks through remote workers is relatively high since the specialists responsible for the organisation's information security do not have the opportunity to apply the entire arsenal of technical means and policies, with the help of which security is ensured at workstations in the office. Information leakage will lead to severe problems, so it is essential to consider what means you can use to ensure the company's information security."
84,IS,"The role of Information Systems in Mergers and Acquisitions (M&A) becomes increasingly important as the need for speed of reaction and information is growing. A model for IS integration in M&A is presented; this includes the categories and strategic objectives of external growth as well as consideration of the possible choices for the hardware and software configuration after completion of the M&A. The basic variables of the model are defined and the possible IS integration strategies are classified in a matrix having, as dimensions, the software configuration and the computer architecture. The IS integration model resulting from these basic elements is divided into a descriptive model and a decision support model: the first one shows the relations among the involved variables, while the second provides a practical tool for decision-making. Both these models have been tested with a survey guided by a questionnaire; Factor Analysis was used to analyze the results."
85,IS,"Keeping employees aligned with modern trends and developments in their professional areas is the main focus of a lifelong lea rning approach. That becomes even more important for such dynamic industries like Information Technology. Therefore, it’s crucial to extend existing e-learning management system with an adaptive training component that enables the effective study of on-demand skills, leading to a broader range of candidates available for project management to select from and consequently improving the overall performance of an IT company. To improve the existing learning process according to company's and employee's needs the overview of a typical learning management system functionality is given in this paper. The main benefits from the adoption of a learning management system in small and medium-sized IT-companies were discussed, analysis of their features and problems was given. The adjustment plan for the typical learning management system to be suitable for the information technology domain including module of the adaptive learning content selection using the basic principles of graph theory was proposed to reduce the time of the learning process. LMS OpenOLAT was reworked according to the adjustment plan which is reflected by the number of diagrams such as sequence diagram, IDEF0 business process description, activity diagram that shows search algorithm steps and application component diagram. Also, GUI was adjusted to provide user with a good look and feel. The benefits of the proposed approach in business processes of IT-company are shown using “Academy – Smart”. To prove the efficiency of the proposed algorithm, real courses were used. Based on the learning material, provided by “Coursera”, a number of test cases was formed and analyzed. After applying adaptive content selection algorithm according to the models of “Academy – Smart” employees, learning time was reduced and optimized. This investigation has shown significant improvement in the resource management process and acceleration of the learning process for employees."
86,IT,"The implementation of the vision of Industry 4.0 towards the Smart Factory requires, in addition to data collection and constant networking of all devices and machines, the rapid processing of large amounts of data. The concept of Cloud Computing enables central processing, but the latency of the transmission to the cloud requires too much time for real time applications. Therefore, the concept of Edge or Fog Computing has arisen in the recent years. Thereby, the calculation is no longer central, but decentralized at the network's edge. This eliminates high transmission latency and offers high potential for calculations, especially analytical calculations, in real time. In the course of this paper we present the State-of-the-art of Edge Computing within the Smart Factory. Thereby, the results of this contribution depict the current thematic priorities of scientific discussion and derive the possibilities for the support of RTA by EC from it."
87,IT,"Federated learning, as a promising machine learning approach, has emerged to leverage a distributed personalized dataset from a number of nodes, for example, mobile devices, to improve performance while simultaneously providing privacy preservation for mobile users. In federated learning, training data is widely distributed and maintained on the mobile devices as workers. A central aggregator updates a global model by collecting local updates from mobile devices using their local training data to train the global model in each iteration. However, unreliable data may be uploaded by the mobile devices (i.e., workers), leading to frauds in tasks of federated learning. The workers may perform unreliable updates intentionally, for example, the data poisoning attack, or unintentionally, for example, low-quality data caused by energy constraints or high-speed mobility. Therefore, finding out trusted and reliable workers in federated learning tasks becomes critical. In this article, the concept of reputation is introduced as a metric. Based on this metric, a reliable worker selection scheme is proposed for federated learning tasks. Consortium blockchain is leveraged as a decentralized approach for achieving efficient reputation management of the workers without repudiation and tampering. By numerical analysis, the proposed approach is demonstrated to improve the reliability of federated learning tasks in mobile networks."
88,IT,"Cloud-native computing principles such as virtualization and orchestration are key to transferring to the promising paradigm of edge computing. Challenges of containerization, operative models and scarce availability of established tools make a thorough review indispensable. Therefore, the authors have described the practical methods and tools found in the literature as well as in current community-led development projects, and have thoroughly exposed the future directions of the field. Container virtualization and its orchestration through Kubernetes have dominated the cloud computing domain, while major efforts have been recently recorded focused on the adaptation of these technologies to the edge. Such initiatives have addressed either the reduction of container engines and the development of specific tailored operating systems or the development of smaller K8s distributions and edge-focused adaptations (such as KubeEdge). Finally, new workload virtualization approaches, such as WebAssembly modules together with the joint orchestration of these heterogeneous workloads, seem to be the topics to pay attention to in the short to medium term."
89,IT,"Addressing the recent trend of the massive demand for resources and ubiquitous use for all citizens has led to the conceptualization of technologies such as the Internet of Things (IoT) and smart cities. Ubiquitous IoT connectivity can be achieved to serve both urban and underserved remote areas such as rural communities by deploying 5G mobile networks with Low Power Wide Area Network (LPWAN). The current architectures will not offer flexible connectivity to many IoT applications due to high service demand, data exchange, emerging technologies, and security challenges. Hence, this paper explores various architectures that consider a hybrid 5G-LPWAN-IoT and Smart Cities. This includes security challenges as well as endogenous security and solutions in 5G and LPWAN-IoT. The slicing of virtual networks using software-defined network (SDN)/network function virtualization (NFV) based on the different quality of service (QoS) to satisfy different services and quality of experience (QoE) is presented. Also, a strategy that considers the implementation of 5G jointly with Weightless-N (TVWS) technologies to reduce the cell edge interference is considered. Discussions on the need for ubiquity connectivity leveraging 5G and LPWAN-IoT are presented. In addition, future research directions are presented, including a unified 5G network and LPWAN-IoT architecture that will holistically support integration with emerging technologies and endogenous security for improved/secured smart cities and remote areas IoT applications. Finally, the use of LPWAN jointly with low earth orbit (LEO) satellites for ubiquitous IoT connectivity is advocated in this paper."
90,IT,"Successful integration of deep neural networks (DNNs) or deep learning (DL) has resulted in breakthroughs in many areas. However, deploying these highly accurate models for data-driven, learned, automatic, and practical machine learning (ML) solutions to end-user applications remains challenging. DL algorithms are often computationally expensive, power-hungry, and require large memory to process complex and iterative operations of millions of parameters. Hence, training and inference of DL models are typically performed on high-performance computing (HPC) clusters in the cloud. Data transmission to the cloud results in high latency, round-trip delay, security and privacy concerns, and the inability of real-time decisions. Thus, processing on edge devices can significantly reduce cloud transmission cost. Edge devices are end devices closest to the user, such as mobile phones, cyber–physical systems (CPSs), wearables, the Internet of Things (IoT), embedded and autonomous systems, and intelligent sensors. These devices have limited memory, computing resources, and power-handling capability. Therefore, optimization techniques at both the hardware and software levels have been developed to handle the DL deployment efficiently on the edge. Understanding the existing research, challenges, and opportunities is fundamental to leveraging the next generation of edge devices with artificial intelligence (AI) capability. Mainly, four research directions have been pursued for efficient DL inference on edge devices: 1) novel DL architecture and algorithm design; 2) optimization of existing DL methods; 3) development of algorithm–hardware codesign; and 4) efficient accelerator design for DL deployment. This article focuses on surveying each of the four research directions, providing a comprehensive review of the state-of-the-art tools and techniques for efficient edge inference."
91,CS,"Ethereum is a framework for cryptocurrencies which uses blockchain technology to provide an open global computing platform, called the Ethereum Virtual Machine (EVM). EVM executes bytecode on a simple stack machine. Programmers do not usually write EVM code; instead, they can program in a JavaScript-like language, called Solidity, that compiles to bytecode. Since the main purpose of EVM is to execute smart contracts that manage and transfer digital assets (called Ether), security is of paramount importance. However, writing secure smart contracts can be extremely difficult: due to the openness of Ethereum, both programs and pseudonymous users can call into the public methods of other programs, leading to potentially dangerous compositions of trusted and untrusted code. This risk was recently illustrated by an attack on TheDAO contract that exploited subtle details of the EVM semantics to transfer roughly $50M worth of Ether into the control of an attacker. In this paper, we outline a framework to analyze and verify both the runtime safety and the functional correctness of Ethereum contracts by translation to F*, a functional programming language aimed at program verification."
92,CS,"This paper presents FUNDED (Flow-sensitive vUl-Nerability coDE Detection), a novel learning framework for building vulnerability detection models. Funded leverages the advances in graph neural networks (GNNs) to develop a novel graph-based learning method to capture and reason about the program’s control, data, and call dependencies. Unlike prior work that treats the program as a sequential sequence or an untyped graph, Funded learns and operates on a graph representation of the program source code, in which individual statements are connected to other statements through relational edges. By capturing the program syntax, semantics and flows, Funded finds better code representation for the downstream software vulnerability detection task. To provide sufficient training data to build an effective deep learning model, we combine probabilistic learning and statistical assessments to automatically gather high-quality training samples from open-source projects. This provides many real-life vulnerable code training samples to complement the limited vulnerable code samples available in standard vulnerability databases. We apply Funded to identify software vulnerabilities at the function level from program source code. We evaluate Funded on large real-world datasets with programs written in C, Java, Swift and Php, and compare it against six state-of-the-art code vulnerability detection models. Experimental results show that Funded significantly outperforms alternative approaches across evaluation settings."
93,CS,"A system can accomplish an objective specified in temporal logic while interacting with an unknown, dynamic but rule-governed environment, by employing grammatical inference and adapting its plan of action on-line. The purposeful interaction of the system with its unknown environment can be described by a deterministic two-player zero-sum game. Using special new product operations, the whole game can be expressed with a factored, modular representation. This representation not only offers computational benefits but also isolates the unknown behavior of the dynamic environment in a particular subsystem, which then becomes the target of learning. As the fidelity of the identified environment model increases, the strategy synthesized based on the learned hypothesis converges in finite time to the one that satisfies the task specification."
94,CS,"We initiate the systematic study of the energy complexity of algorithms (in addition to time and space complexity) based on Landauer's Principle in physics, which gives a lower bound on the amount of energy a system must dissipate if it destroys information. We propose energy-aware variations of three standard models of computation: circuit RAM, word RAM, and transdichotomous RAM. On top of these models, we build familiar high-level primitives such as control logic, memory allocation, and garbage collection with zero energy complexity and only constant-factor overheads in space and time complexity, enabling simple expression of energy-efficient algorithms. We analyze several classic algorithms in our models and develop low-energy variations: comparison sort, insertion sort, counting sort, breadth-first search, Bellman-Ford, Floyd-Warshall, matrix all-pairs shortest paths, AVL trees, binary heaps, and dynamic arrays. We explore the time/space/energy trade-off and develop several general techniques for analyzing algorithms and reducing their energy complexity. These results lay a theoretical foundation for a new field of semi-reversible computing and provide a new framework for the investigation of algorithms."
95,CS,"In federated learning (FL), data owners ""share"" their local data in a privacy preserving manner in order to build a federated model, which in turn, can be used to generate revenues for the participants. However, in FL involving business participants, they might incur significant costs if several competitors join the same federation. Furthermore, the training and commercialization of the models will take time, resulting in delays before the federation accumulates enough budget to pay back the participants. The issues of costs and temporary mismatch between contributions and rewards have not been addressed by existing payoff-sharing schemes. In this paper, we propose the Federated Learning Incentivizer (FLI) payoff-sharing scheme. The scheme dynamically divides a given budget in a context-aware manner among data owners in a federation by jointly maximizing the collective utility while minimizing the inequality among the data owners, in terms of the payoff gained by them and the waiting time for receiving payoff. Extensive experimental comparisons with five state-of-the-art payoff-sharing schemes show that FLI is the most attractive to high quality data owners and achieves the highest expected revenue for a data federation."
96,IS,"Organizations risk losing their competitive edge as they struggle to find and hire qualified talent. Hiring personnel turn to artificial intelligence (AI) tools to help acquire talent, increase efficiency, and reduce costs. Yet despite the best intentions for integrating fair and evidence-based systems, exacerbated levels of bias may occur from using these tools. Drawing from scholarship on process expertise and emerging practices of AI use at work, I provide a case study of 42 high-volume recruiters and uncover how hiring personnel enact and justify unsystematic sourcing practices within the confines of their held expertise, organizational demands, and technology choices. I explain how AI-based hiring decisions in organizations are context dependent and blend the capabilities of algorithmic-powered tools with choices and judgments made by process experts. I conclude by offering theoretical and practical considerations for expertise, hiring, and the integration of algorithms at work."
97,IS,"Industry 4.0-based manufacturing systems are equipped with Cyber-Physical Systems that are characterized by a strong interlinkage between the real world and the digital one: actions in one world have an impact on the other. In this paradigm, Digital Twins (DT) are defined as simulation models that are both getting data from the field and triggering actions on the physical equipment. However, most of the claimed DT in literature are only replicating the real system in a synchronized fashion, without feeding back actions on the control system of the equipment. In literature, these are referred to as Digital Shadows (DS). The paper proposes a way to integrate a DS simulation model with the Manufacturing Execution System (MES) in this way creating a DT. The MES-integrated DT is used for decision making thanks to the presence of an intelligence layer that hosts the rules and the knowledge to choose among alternatives. The paper proposes two frameworks based on the MES-integrated DT: one for managing error states and one for triggering disassembly processes as a consequence of low assembly quality. The DT simulation is developed and integrated with the MES of the Industry 4.0 Laboratory at the School of Management of Politecnico di Milano, where the proposed frameworks have been tested and validated."
98,IS,"We propose an organizational culture-based explanation of the level of difficulty of clinical information system (CIS) implementation and of the practices that can contribute to reduce the level of difficulty of this process. Adopting an analytic induction approach, we developed initial theoretical propositions based on a three-perspective conceptualization of organizational culture: integration, differentiation, and fragmentation. Using data from three cases of CIS implementation, we first performed a deductive analysis to test our propositions on the relationships between culture, CIS characteristics, implementation practices, and the level of implementation difficulty. Then, applying an inductive analysis strategy, we re-analyzed the data and developed new propositions. Our analysis shows that four values play a central role in CIS implementation. Two values, quality of care and efficiency of clinical practices, are key from an integration perspective; two others, professional status/autonomy and medical dominance, are paramount from a differentiation perspective. A fragmentation perspective analysis reveals that hospital users sometimes have ambiguous interpretations of some CIS characteristics and/or implementation practices in terms of their consistency with these four values. Overall, the proposed theory provides a rich explanation of the relationships between CIS characteristics, implementation practices, user values, and the level of difficulty of the implementation process."
99,IS,"Social media has become a part of life for a larger segment of the people globally. Businesses are also taking advantage of it, to instantly and easily create and share information with the customers and get benefited from this seamless communication. As a result of the increase in both social media platforms and users, the need to monitor, extract, analyse and report the data being created on these platforms has also increased for the Businesses. Present work identifies the social media analytics (SMA) process and online retail application; it identifies the different phases of the SMA process with their integration to the online retail strategy, challenges, and opportunities. SMA metrics for customer life-cycle (acquisition to enhancement) are discussed. A comparative analysis has been presented for different SMA tools to identify their utility to the online retail."
100,IS,"In Ghana, academic record-keeping and verification methods have become increasingly burdensome, error-prone, and susceptible to data security, privacy, and fraud prevention issues. Traditional systems often rely on paper-based records or fragmented digital databases, which can lead to inefficiencies, human errors, and difficulties in authenticating and validating academic credentials. These challenges can hinder students' and graduates' efforts to pursue further education or employment opportunities and create administrative burdens for educational institutions and employers. Blockchain technology, an emerging innovation, offers a promising solution to address these challenges. By digitizing and securely storing academic records on a blockchain, the system will facilitate efficient, accurate, and tamper-proof verification of credentials. This will reduce errors and fraud and improve academic qualifications' overall reliability and credibility. Furthermore, the system will enhance data privacy by allowing individuals to control who can access their records and under what conditions. This applied project creates a user-friendly platform that simplifies the verification process for students, graduates, educational institutions, and employers. By harnessing the power of blockchain technology, we can revolutionize academic record-keeping and verification in Ghana, ensuring a more secure, efficient, and trustworthy system for all stakeholders involved."
101,IT,"Currently, enterprises have to make quick and resilient responses to changing market requirements. In light of this, low-code development platforms provide the technology mechanisms to facilitate and automate the development of software applications to support current enterprise needs and promote digital transformation. Based on a theory-building research methodology through the literature and other information sources review, the main contribution of this paper is the current characterisation of the emerging low-code domain following the foundations of the computer-aided software engineering field. A context analysis, focused on the current status of research related to the low-code development platforms, is performed. Moreover, benchmarking among the existing low-code development platforms addressed to manufacturing industry is analysed to identify the current lacking features. As an illustrative example of the emerging low-code paradigm and respond to the identified uncovered features, the virtual factory open operating system (vf-OS) platform is described as an open multi-sided low-code framework able to manage the overall network of a collaborative manufacturing and logistics environment that enables humans, applications, and Internet of Things (IoT) devices to seamlessly communicate and interoperate in the interconnected environment, promoting resilient digital transformation."
102,IT,"IoT-enabled applications, such as cloud manufacturing, guided water quality or air quality analysis, energy-conscious societal applications, and smart agricultural economics, are designed using a blend of high-end computing technologies, such as cloud, edge, and fog. Smart cities and governmental authorities keep a keen eye out for implementing IoT applications in an automated/decentralized approach with enhanced security measures so that tens of thousands of users, including entrepreneurs, are benefited. Existing IoT architectures are prone to energy inefficiency or resource underutilization problems due to the avoidance of apt technologies, such as serverless computing. This article proposes to set forth a serverless blockchain-enabled IoT architecture for societal applications. It explores the existing IoT architectures and pinpoints the advantages of applying serverless blockchains on IoT architectures. In addition, the proposed IoT architecture is illustrated with a specific use case of IoT societal applications namely air quality monitoring for smart cities (AQMS). This article discloses how air quality sensor data from defective industries were securely transacted to blockchain networks surpassing from the three levels of computing namely edge, fog, and cloud while utilizing serverless and server-oriented functions. In addition, this article exposes a list of the most potent serverless functions that assist AQMS IoT societal applications in detail. The IoT architecture, discussed in this article, will enable innovations and research works for IoT developers and researchers."
103,IT,Cloud security is the primary need for the vital Information Technology industry. It adopts dynamic qualities and enhances various heterogeneous resources for its applications. Cloud environment enables virtual technologies using virtual machine placement method. Therefore any virtual machines can move between any physical devices for achieving cost optimization and network traffic minimization sake. Multi-tenancy means the use of multiple systems applications or data from various organizations residing on a single physical device. Here a single instance of the application software running on the service providers’ platform can be accessed by multiple clients simultaneously. Multi-tenancy concept refers to both public as well as private cloud model which relates to all the three layers in cloud computing system. Adaptive particle swarm optimization is proposed in this paper which also addresses the multi-tenancy process which enables high resource utilization service under cloud storage network.
104,IT,"Railways are considered to be an environmentally friendly and efficient means of transport for people and goods with increasing importance in the transport policies of many countries. However, the infrastructure and the substantial demand for maintenance create additional costs for railway operators. To overcome outdated maintenance modes, implementation of new solutions, optimization of maintenance activities, and resource utilization are required. Through a systematic literature review, this article evaluates new approaches toward implementing predictive maintenance in the railway domain. A comprehensive search, including the IEEE Xplore, Science Direct, and ACM Digital Library, has been conducted, focusing on papers related to predictive maintenance and railway systems, published in peer-reviewed journals since 2016. The selected papers were analyzed and grouped to allocate the research purposes as well as the considered assets, components, predicted defects, and maintenance conditions. Furthermore, the utilized predictive maintenance algorithms and their limitations are structured and evaluated. Analysis shows that a great variety of algorithms were used for either defect detection or the prediction of conditions of 20 different components, which are critical for the safety and availability of railway operations. The study shows that the proposed approaches were successfully tested and yielded great potential for predictive maintenance solutions. Researchers state to enhance proposed solutions within their future work, increasing accuracy and performance and widening the area of application in the railway domain."
105,IT,"In this paper, we propose a mobility-aware scheme, named MobiPlace, to address the controller placement problem (CPP) at the Road Side Units (RSUs) in Software-Defined Vehicular Networks (SDVNs). MobiPlace places local controllers at the selected RSUs to reduce the operational delay experienced in traditional SDVN architecture, where controllers are placed at the cloud. Additionally, we consider the effect of dynamic road traffic and propose dynamic adjustment of the placement of the controller with minimal changes. In contrast to the existing literature, we infuse traffic monitoring and traffic prediction strategies to ensure accurate delivery of control messages and data packets. We formulate an Integer Linear Program (ILP) and propose a solution approach consisting of three modules - mobility management, controller placement, and controller selection. The mobility management module uses Markov predictor to predict vehicle movement and reduce controller synchronization overhead when a vehicle moves to a different controller's coverage area. The controller placement module applies a simulated annealing-based algorithm to select potential RSUs that serve as local controllers. The controller selection module determines the preferable controller location for processing the service requests. Simulation results depict that MobiPlace reduces the average flow setup delay by 13.85% compared to the existing state-of-the-art."
